Player,From,To,Pos,Ht,Wt,Birth Date,College
Wilson Chandler\chandwi01,2008,2017,F,6-8,225,May 10 1987,DePaul University
Don Chaney\chanedo01,1969,1980,G,6-5,210,March 22 1946,University of Houston
John Chaney\chanejo01,1950,1950,F-C,6-3,185,February 29 1920,Louisiana State University
Rex Chapman\chapmre01,1989,2000,G,6-4,185,October 5 1967,University of Kentucky
Wayne Chapman\chapmwa01,1969,1972,G-F,6-6,190,June 15 1945,Western Kentucky University
Len Chappell\chapple01,1963,1972,F-C,6-8,240,January 31 1941,Wake Forest University
Ken Charles\charlke01,1974,1978,G,6-3,180,July 10 1951,Fordham University
Lorenzo Charles\charllo01,1986,1986,F,6-7,225,November 25 1963,North Carolina State University
Calbert Cheaney\cheanca01,1994,2006,G-F,6-7,209,July 17 1971,Indiana University
Maurice Cheeks\cheekma01,1979,1993,G,6-1,180,September 8 1956,West Texas A&M University
Phil Chenier\cheniph01,1972,1981,G,6-3,180,October 30 1950,University of California
Will Cherry\cherrwi01,2015,2015,G,6-0,185,February 8 1991,University of Montana
Derrick Chievous\chievde01,1989,1991,F,6-7,195,July 3 1967,University of Missouri
Pete Chilcutt\chilcpe01,1992,2000,F-C,6-10,230,September 14 1968,University of North Carolina
Josh Childress\childjo01,2005,2014,G-F,6-8,210,June 20 1983,Stanford University
Randolph Childress\childra01,1996,1997,G,6-2,188,September 21 1972,Wake Forest University
Chris Childs\childch01,1995,2003,G,6-3,195,November 20 1967,Boise State University
Leroy Chollet\chollle01,1950,1951,F,6-2,190,March 5 1925,Canisius College
Jim Chones\choneji01,1973,1982,C-F,6-11,220,November 30 1949,Marquette University
Marquese Chriss\chrisma01,2017,2017,F,6-10,233,July 2 1997,University of Washington
Fred Christ\chrisfr01,1955,1955,G,6-4,210,August 6 1930,Fordham University
Cal Christensen\chrisca01,1951,1955,F-C,6-5,210,July 8 1927,University of Toledo
Bob Christian\chrisbo01,1970,1974,C,6-10,255,May 11 1946,Grambling State University
Doug Christie\chrisdo01,1993,2007,G-F,6-6,200,May 9 1970,Pepperdine University
Dionte Christmas\chrisdi01,2014,2014,G,6-5,205,September 15 1986,Temple University
Rakeem Christmas\chrisra01,2016,2017,F,6-9,250,December 1 1991,Syracuse University
Semaj Christon\chrisse01,2017,2017,G,6-3,190,November 1 1992,Xavier University
Patrick Christopher\chrispa01,2015,2015,G-F,6-5,209,June 3 1988,University of California
Stephen Chubin\chubist01,1968,1970,G,6-2,200,February 8 1944,University of Rhode Island
Robert Churchwell\churcro01,1996,1996,G-F,6-6,195,February 20 1972,Georgetown University
Archie Clark\clarkar01,1967,1976,G,6-2,175,July 15 1941,University of Minnesota
Carlos Clark\clarkca01,1984,1985,G,6-4,210,August 10 1960,University of Mississippi
Earl Clark\clarkea01,2010,2015,F,6-10,225,January 17 1988,University of Louisville
Ian Clark\clarkia01,2014,2017,G,6-3,175,March 7 1991,Belmont University
Keon Clark\clarkke01,1999,2004,F-C,6-11,220,April 16 1975,University of Nevada Las Vegas
Richard Clark\clarkri01,1968,1969,G,6-4,190,January 5 1944,Eastern Kentucky University
Coty Clarke\clarkco01,2016,2016,F,6-7,232,July 4 1992,University of Arkansas
Jordan Clarkson\clarkjo01,2015,2017,G,6-5,194,June 7 1992,University of Missouri
Victor Claver\clavevi01,2013,2015,F,6-9,224,August 30 1988,
John Clawson\clawsjo01,1969,1969,F,6-4,200,May 15 1944,University of Michigan
Charles Claxton\claxtch01,1996,1996,C,7-0,265,December 13 1970,University of Georgia
Speedy Claxton\claxtsp01,2002,2009,G,5-11,166,May 8 1978,Hofstra University
Jim Cleamons\cleamji01,1972,1980,G,6-3,185,September 13 1949,Ohio State University
Mateen Cleaves\cleavma01,2001,2006,G,6-2,205,September 7 1977,Michigan State University
Barry Clemens\clemeba01,1966,1976,F,6-6,210,May 1 1943,Ohio Wesleyan University
Nat Clifton*\cliftna01,1951,1958,C-F,6-6,220,October 13 1922,Xavier University of Louisiana
Bill Closs\clossbi01,1950,1952,F-C,6-5,195,January 8 1922,Rice University
Keith Closs\closske01,1998,2000,C,7-3,212,April 3 1976,Central Connecticut State University
Paul Cloyd\cloydpa01,1950,1950,G-F,6-2,180,June 13 1920,University of Wisconsin
Bob Cluggish\cluggbo01,1947,1947,C,6-10,235,September 18 1917,University of Kentucky
Ben Clyde\clydebe01,1975,1975,F,6-7,198,June 10 1951,Florida State University
Richard Coffey\cofferi01,1991,1991,F,6-6,212,September 2 1965,University of Minnesota
Fred Cofield\cofiefr01,1986,1987,G,6-3,190,January 4 1962,Eastern Michigan University
John Coker\cokerjo01,1996,2001,C,7-0,253,October 28 1971,Boise State University
Norris Cole\coleno01,2012,2017,G,6-2,175,October 13 1988,Cleveland State University
Ben Coleman\colembe01,1987,1994,F,6-9,235,November 14 1961,University of Maryland
Derrick Coleman\colemde01,1991,2005,F,6-10,230,June 21 1967,Syracuse University
E.C. Coleman\colemec01,1974,1979,F,6-8,225,September 25 1950,Houston Baptist University
Jack Coleman\colemja01,1950,1958,F-C,6-7,195,May 23 1924,University of Louisville
Norris Coleman\colemno01,1988,1988,F,6-8,210,September 27 1961,Kansas State University
Bimbo Coles\colesbi01,1991,2004,G,6-1,180,April 22 1968,Virginia Polytechnic Institute and State University
Jason Collier\collija02,2001,2005,C,7-0,260,September 8 1977,Georgia Institute of Technology
Art Collins\colliar01,1981,1981,G,6-4,185,April 14 1954,St. Thomas University
Don Collins\collido02,1981,1987,F-G,6-6,190,November 28 1958,Washington State University
Doug Collins\collido01,1974,1981,G-F,6-6,180,July 28 1951,Illinois State University
James Collins\collija01,1998,1998,G,6-4,196,November 5 1973,Florida State University
Jarron Collins\collija03,2002,2011,F-C,6-11,255,December 2 1978,Stanford University
Jason Collins\collija04,2002,2014,C,7-0,255,December 2 1978,Stanford University
Jimmy Collins\colliji01,1971,1972,G,6-2,175,November 24 1946,New Mexico State University
Mardy Collins\collima01,2007,2010,G,6-6,220,August 4 1984,Temple University
Sherron Collins\collish01,2011,2011,G,5-11,205,March 18 1987,University of Kansas
Darren Collison\collida01,2010,2017,G,6-0,175,August 23 1987,University of California Los Angeles
Nick Collison\collini01,2005,2017,F,6-10,255,October 26 1980,University of Kansas
Joe Colone\colonjo01,1949,1949,F,6-5,210,January 23 1924,Bloomsburg University of Pennsylvania
Sean Colson\colsose01,2001,2001,G,6-0,175,July 1 1975,University of North Carolina at Charlotte
Steve Colter\coltest01,1985,1995,G,6-3,165,July 24 1962,New Mexico State University
Glen Combs\combsgl01,1969,1975,G,6-2,185,October 30 1946,Virginia Polytechnic Institute and State University
Leroy Combs\combsle01,1984,1984,F,6-8,210,January 1 1961,Oklahoma State University
John Comeaux\comeajo01,1968,1968,F,6-5,193,September 15 1943,Grambling State University
Dallas Comegys\comegda01,1988,1989,F,6-9,205,August 17 1964,DePaul University
Larry Comley\comlela01,1964,1964,G,6-5,210,August 17 1939,Kansas State University
Jeffrey Congdon\congdje01,1968,1972,G,6-1,180,October 17 1943,Brigham Young University
Gene Conley\conlege01,1953,1964,C-F,6-8,225,November 10 1930,Washington State University
Larry Conley\conlela01,1968,1968,G,6-3,175,January 22 1944,University of Kentucky
Mike Conley\conlemi01,2008,2017,G,6-1,175,October 11 1987,Ohio State University
Ed Conlin\conlied01,1956,1962,F-G,6-5,200,September 2 1933,Fordham University
Marty Conlon\conloma01,1992,2000,F-C,6-10,224,January 19 1968,Providence College
Pat Connaughton\connapa01,2016,2017,G,6-5,206,January 6 1993,University of Notre Dame
Jimmy Conner\conneji01,1976,1976,G,6-4,190,March 20 1953,University of Kentucky
Lester Conner\connele01,1983,1995,G,6-4,180,September 17 1959,Oregon State University
Chuck Connors\connoch01,1947,1948,F-C,6-5,190,April 10 1921,Seton Hall University
Will Conroy\conrowi01,2007,2013,G,6-2,195,December 8 1982,University of Washington
Anthony Cook\cookan01,1991,1996,F-C,6-9,205,March 19 1967,University of Arizona
Bert Cook\cookbe01,1955,1955,G-F,6-3,185,April 26 1929,Utah State University
Bobby Cook\cookbo01,1950,1950,G-F,5-10,155,April 1 1923,University of Wisconsin
Brian Cook\cookbr01,2004,2012,F,6-9,234,December 4 1980,University of Illinois at Urbana-Champaign
Daequan Cook\cookda02,2008,2013,G,6-5,205,April 28 1987,Ohio State University
Darwin Cook\cookda01,1981,1989,G,6-3,184,August 6 1958,University of Portland
Jeff Cook\cookje01,1980,1988,F-C,6-10,215,October 21 1956,Idaho State University
Norm Cook\cookno01,1977,1978,F,6-8,210,March 21 1955,University of Kansas
Omar Cook\cookom01,2004,2005,G,6-1,190,January 28 1982,St. John's University
Quinn Cook\cookqu01,2017,2017,G,6-2,184,March 23 1993,Duke University
David Cooke\cookeda01,1986,1986,F,6-8,230,September 27 1963,Saint Mary's College of California
Joe Cooke\cookejo01,1971,1971,G,6-3,175,August 14 1948,Indiana University
Jack Cooley\cooleja01,2015,2015,F,6-9,260,April 4 1991,University of Notre Dame
Chuck Cooper\coopech01,1951,1956,F,6-5,210,September 29 1926,Duquesne University
Duane Cooper\coopedu01,1993,1994,G,6-1,185,June 25 1969,University of Southern California
Joe Cooper\coopejo01,1982,1985,C-F,6-10,230,September 1 1957,University of Colorado
Michael Cooper\coopemi01,1979,1990,G-F,6-5,170,April 15 1956,University of New Mexico
Wayne Cooper\coopewa01,1979,1992,C-F,6-10,220,November 16 1956,University of New Orleans
Tom Copa\copato01,1992,1992,C,6-10,275,October 30 1964,Marquette University
Chris Copeland\copelch01,2013,2016,F,6-9,239,March 17 1984,University of Colorado
Hollis Copeland\copelho01,1980,1982,F,6-6,180,December 20 1955,Rutgers University
Lanard Copeland\copella01,1990,1992,G,6-6,190,July 16 1965,Georgia State University
Tyrone Corbin\corbity01,1986,2001,G-F,6-6,210,December 31 1962,DePaul University
Chris Corchiani\corchch01,1992,1994,G,6-0,185,March 28 1968,North Carolina State University
Ken Corley\corleke01,1947,1947,C,6-5,210,,Oklahoma State Teachers College
Ray Corley\corlera01,1950,1953,G,6-0,180,January 1 1928,Georgetown University
Dave Corzine\corzida01,1979,1991,C,6-11,250,April 25 1956,DePaul University
Larry Costello\costela01,1955,1968,G,6-1,186,July 2 1931,Niagara University
Bryce Cotton\cottobr01,2015,2016,G,6-1,165,August 11 1992,Providence College
Jack Cotton\cottoja01,1950,1950,F-C,6-7,200,October 25 1924,University of Wyoming
James Cotton\cottoja02,1998,1999,G,6-5,220,December 14 1975,California State University Long Beach
John Coughran\coughjo01,1980,1980,F,6-7,225,September 12 1951,University of California
Mel Counts\countme01,1965,1976,C-F,7-0,230,October 16 1941,Oregon State University
Steve Courtin\courtst01,1965,1965,G,6-1,188,September 21 1942,Saint Joseph's University
Joe Courtney\courtjo01,1993,1997,F,6-8,235,October 17 1969,University of Southern Mississippi
Marcus Cousin\cousima01,2011,2011,C,6-11,245,December 18 1986,University of Houston
DeMarcus Cousins\couside01,2011,2017,C-F,6-11,270,August 13 1990,University of Kentucky
Bob Cousy*\cousybo01,1951,1970,G,6-1,175,August 9 1928,College of the Holy Cross
Robert Covington\covinro01,2014,2017,F,6-9,215,December 14 1990,Tennessee State University
Dave Cowens*\cowenda01,1971,1983,C-F,6-9,230,October 25 1948,Florida State University
Chubby Cox\coxch01,1983,1983,G,6-2,180,December 29 1955,University of San Francisco
Johnny Cox\coxjo01,1963,1963,G,6-4,180,November 1 1936,University of Kentucky
Wesley Cox\coxwe01,1978,1979,F,6-6,215,January 27 1955,University of Louisville
Allen Crabbe\crabbal01,2014,2017,G-F,6-6,210,April 9 1992,University of California
Chris Crawford\crawfch01,1998,2004,F,6-9,235,May 13 1975,Marquette University
Freddie Crawford\crawffr01,1967,1971,G-F,6-4,189,December 23 1941,St. Bonaventure University
Jamal Crawford\crawfja01,2001,2017,G,6-5,200,March 20 1980,University of Michigan
Joe Crawford\crawfjo01,2009,2009,F,6-5,210,June 17 1986,University of Kentucky
Jordan Crawford\crawfjo02,2011,2017,G,6-4,195,October 23 1988,Xavier University
Jim Creighton\creigji01,1976,1976,F,6-8,200,April 18 1950,University of Colorado
Ron Crevier\creviro01,1986,1986,C,7-0,235,April 14 1958,Boston College
Hal Crisler\crislha01,1947,1947,F,6-3,215,December 31 1923,Iowa State University
Joe Crispin\crispjo01,2002,2002,G,6-0,185,July 18 1979,Pennsylvania State University
Charlie Criss\crissch01,1978,1985,G,5-8,165,November 6 1948,New Mexico State University
Russell Critchfield\critcru01,1969,1969,G,5-10,150,June 27 1946,University of California
Winston Crite\critewi01,1988,1989,F,6-7,233,June 20 1965,Texas A&M University
Javaris Crittenton\crittja01,2008,2009,G,6-5,200,December 31 1987,Georgia Institute of Technology
Dillard Crocker\crockdi01,1949,1953,F-G,6-4,205,January 19 1925,Western Michigan University
Bobby Croft\croftbo01,1971,1971,C,6-10,200,March 17 1946,University of Tennessee
Geoff Crompton\crompge01,1979,1984,C,6-11,280,July 4 1955,University of North Carolina
Terry Crosby\crosbte01,1980,1980,G,6-4,195,January 4 1957,University of Tennessee
Austin Croshere\croshau01,1998,2009,F,6-9,235,May 1 1975,Providence College
Jeff Cross\crossje01,1986,1986,F,6-10,240,September 1 1961,University of Maine
Pete Cross\crosspe01,1971,1973,C-F,6-9,230,March 28 1948,University of San Francisco
Russell Cross\crossru01,1984,1984,C,6-10,215,September 5 1961,Purdue University
Chink Crossin\crossch01,1948,1950,G,6-1,165,July 4 1923,University of Pennsylvania
John Crotty\crottjo01,1993,2003,G,6-1,185,July 15 1969,University of Virginia
Bill Crow\crowbi01,1968,1968,G,6-1,180,December 9 1940,Westminster College of Utah
Mark Crow\crowma01,1978,1978,F,6-7,210,October 22 1954,Duke University
Corey Crowder\crowdco01,1992,1995,G-F,6-5,214,April 13 1969,Kentucky Wesleyan College
Jae Crowder\crowdja01,2013,2017,F,6-6,235,July 6 1990,Marquette University
Al Cueto\cuetoal01,1970,1971,C-F,6-7,230,August 2 1946,University of Tulsa
Pat Cummings\cummipa01,1980,1991,F-C,6-9,230,July 11 1956,University of Cincinnati
Terry Cummings\cummite01,1983,2000,F,6-9,220,March 15 1961,DePaul University
Vonteego Cummings\cummivo01,2000,2002,G,6-3,185,February 29 1976,University of Pittsburgh
Billy Cunningham*\cunnibi01,1966,1976,F-C,6-6,210,June 3 1943,University of North Carolina
Dante Cunningham\cunnida01,2010,2017,F,6-8,230,April 22 1987,Villanova University
Dick Cunningham\cunnidi01,1969,1975,C,6-10,245,July 11 1946,Murray State University
Jared Cunningham\cunnija01,2013,2016,G,6-4,195,May 22 1991,Oregon State University
William Cunningham\cunniwi01,1998,1999,C,6-11,250,March 25 1974,Temple University
Radisav Curcic\curcira01,1993,1993,C,6-10,275,September 26 1965,
Armand Cure\curear01,1947,1947,F,6-0,198,August 1 1919,University of Rhode Island
Earl Cureton\curetea01,1981,1997,F-C,6-9,210,September 3 1957,University of Detroit Mercy
Bill Curley\curlebi01,1995,2001,F,6-9,220,May 29 1972,Boston College
Fran Curran\currafr01,1949,1950,G,6-0,175,September 9 1922,University of Notre Dame
Dell Curry\curryde01,1987,2002,G,6-4,190,June 25 1964,Virginia Polytechnic Institute and State University
Eddy Curry\curryed01,2002,2013,C,7-0,295,December 5 1982,
JamesOn Curry\curryja01,2010,2010,G,6-3,190,January 7 1986,Oklahoma State University
Michael Curry\currymi01,1994,2005,F-G,6-5,210,August 22 1968,Georgia Southern University
Seth Curry\curryse01,2014,2017,G,6-2,185,August 23 1990,Duke University
Stephen Curry\curryst01,2010,2017,G,6-3,190,March 14 1988,Davidson College
Rastko Cvetkovic\cvetkra01,1996,1996,C,7-1,260,June 22 1970,
Mike D'Antoni\dantomi01,1974,1977,G,6-3,185,May 8 1951,Marshall University
Mike Dabich\dabicmi01,1968,1968,C,7-0,242,December 27 1942,New Mexico State University
Ed Dahler\dahleed01,1952,1952,F,6-5,190,January 31 1926,Duquesne University
Quintin Dailey\dailequ01,1983,1992,G,6-3,180,January 22 1961,University of San Francisco
Samuel Dalembert\dalemsa01,2002,2015,C,6-11,255,May 10 1981,Seton Hall University
Howie Dallmar\dallmho01,1947,1949,F,6-4,200,May 24 1922,Stanford University
Erick Dampier\dampier01,1997,2012,C,6-11,265,July 14 1975,Mississippi State University
Louie Dampier*\dampilo01,1968,1979,G,6-0,170,November 20 1944,University of Kentucky
Bob Dandridge\dandrbo01,1970,1982,F-G,6-6,195,November 15 1947,Norfolk State University
Antonio Daniels\daniean01,1998,2011,G,6-4,195,March 19 1975,Bowling Green State University
Erik Daniels\danieer01,2005,2005,F,6-8,214,April 1 1982,University of Kentucky
Lloyd Daniels\daniell01,1993,1998,G,6-7,205,September 4 1967,Mount San Antonio College
Marquis Daniels\daniema01,2004,2013,G-F,6-6,200,January 7 1981,Auburn University
Mel Daniels*\danieme01,1968,1977,C,6-9,220,July 20 1944,University of New Mexico
Troy Daniels\danietr01,2014,2017,G,6-4,205,July 15 1991,Virginia Commonwealth University
Sasha Danilovic\danilsa01,1996,1997,G,6-5,200,February 26 1970,
Adrian Dantley*\dantlad01,1977,1991,F-G,6-5,208,February 28 1956,University of Notre Dame
Pete Darcey\darcepe01,1953,1953,C,6-7,217,March 3 1930,Oklahoma State University
Jimmy Darden\dardeji01,1950,1950,G,6-1,170,June 19 1922,University of Denver
Ollie Darden\dardeol01,1968,1970,F-C,6-7,235,July 28 1944,University of Michigan
Yinka Dare\dareyi01,1995,1998,C,7-0,265,October 10 1972,George Washington University
Jesse Dark\darkje01,1975,1975,G,6-5,210,September 2 1951,Virginia Commonwealth University
Rick Darnell\darneri01,1976,1976,C-F,6-10,215,January 1 1953,San Jose State University
Jimmy Darrow\darroji01,1962,1962,G,5-10,170,September 25 1937,Bowling Green State University
Luigi Datome\datomlu01,2014,2015,F,6-8,215,November 27 1987,
Brad Daugherty\daughbr01,1987,1994,C,7-0,245,October 19 1965,University of North Carolina
Mack Daughtry\daughma01,1971,1971,G,6-3,175,,Albany State University
Kornel David\davidko01,1999,2001,F,6-9,235,October 22 1971,
Jermareo Davidson\davidje01,2008,2009,F,6-10,230,November 15 1984,University of Alabama
Bob Davies*\daviebo01,1949,1955,G-F,6-1,175,January 15 1920,Seton Hall University
Brandon Davies\daviebr01,2014,2015,F,6-10,240,July 25 1991,Brigham Young University
Anthony Davis\davisan02,2013,2017,F-C,6-10,253,March 11 1993,University of Kentucky
Antonio Davis\davisan01,1994,2006,F-C,6-9,215,October 31 1968,University of Texas at El Paso
Aubrey Davis\davisau01,1947,1947,G-F,6-2,175,March 28 1921,Oklahoma Baptist University
Baron Davis\davisba01,2000,2012,G,6-3,209,April 13 1979,University of California Los Angeles
Ben Davis\davisbe01,1997,2000,F,6-9,240,December 26 1972,University of Arizona
Bill Davis\davisbi01,1947,1947,F,6-3,215,October 3 1921,University of Notre Dame
Bob Davis\davisbo01,1973,1973,F,6-7,215,April 2 1950,Weber State University
Brad Davis\davisbr01,1978,1992,G,6-3,180,December 17 1955,University of Maryland
Brian Davis\davisbr02,1994,1994,F-G,6-7,200,June 21 1970,Duke University
Charles Davis\davisch02,1982,1990,F,6-7,215,October 5 1958,Vanderbilt University
Charlie Davis\davisch01,1972,1974,G,6-2,160,September 7 1949,Wake Forest University
Dale Davis\davisda01,1992,2007,F-C,6-11,230,March 25 1969,Clemson University
Deyonta Davis\davisde01,2017,2017,F-C,6-11,237,December 2 1996,Michigan State University
Dwight Davis\davisdw01,1973,1977,F,6-8,220,October 28 1949,University of Houston
Ed Davis\davised01,2011,2017,F,6-10,240,June 5 1989,University of North Carolina
Emanual Davis\davisem01,1997,2003,G,6-4,195,August 27 1968,Delaware State University
Glen Davis\davisgl01,2008,2015,F-C,6-9,289,January 1 1986,Louisiana State University
Harry Davis\davisha01,1979,1980,F,6-7,220,January 27 1956,Florida State University
Hubert Davis\davishu01,1993,2004,G,6-5,183,May 17 1970,University of North Carolina
Jim Davis\davisji01,1968,1975,C-F,6-9,225,December 18 1941,University of Colorado
Johnny Davis\davisjo01,1977,1986,G,6-2,170,October 21 1955,University of Dayton
Josh Davis\davisjo02,2004,2012,F,6-8,235,August 10 1980,University of Wyoming
Lee Davis\davisle01,1969,1976,C-F,6-8,235,October 11 1945,North Carolina Central University
Mark Davis\davisma01,1989,1989,F-G,6-6,195,June 8 1963,Old Dominion University
Mark Davis\davisma02,1996,2000,G-F,6-7,210,April 26 1973,Texas Tech University
Mel Davis\davisme01,1974,1977,F,6-6,220,November 9 1950,St. John's University
Mickey Davis\davismi02,1972,1977,F-G,6-7,195,June 16 1950,Duquesne University
Mike Davis\davismi01,1970,1973,G,6-3,185,July 26 1946,Virginia Union University
Mike Davis\davismi03,1983,1983,F,6-10,230,August 2 1956,University of Maryland
Monti Davis\davismo01,1981,1981,F,6-7,205,July 26 1958,Tennessee State University
Paul Davis\davispa01,2007,2010,C,6-11,270,July 21 1984,Michigan State University
Ralph Davis\davisra01,1961,1962,G,6-4,180,September 7 1938,University of Cincinnati
Red Davis\davisre01,1956,1956,C,6-7,220,April 22 1932,St. John's University
Ricky Davis\davisri01,1999,2010,G,6-6,195,September 23 1979,University of Iowa
Ron Davis\davisro01,1977,1982,G-F,6-6,198,May 1 1954,Washington State University
Terry Davis\daviste01,1990,2001,F-C,6-9,225,June 17 1967,Virginia Union University
Walt Davis\daviswa01,1954,1958,C-F,6-8,205,January 5 1931,Texas A&M University
Walter Davis\daviswa03,1978,1992,G-F,6-6,193,September 9 1954,University of North Carolina
Warren Davis\daviswa02,1968,1973,F-C,6-6,212,June 30 1943,North Carolina Agricultural and Technical State University
Willie Davis\daviswi01,1971,1971,C,6-8,234,August 9 1945,University of North Texas
Andre Dawkins\dawkian01,2015,2015,G,6-5,215,September 19 1991,Duke University
Darryl Dawkins\dawkida01,1976,1989,C,6-11,251,January 11 1957,
Johnny Dawkins\dawkijo01,1987,1995,G,6-2,165,September 28 1963,Duke University
Paul Dawkins\dawkipa01,1980,1980,F,6-5,190,June 10 1957,Northern Illinois University
Branden Dawson\dawsobr01,2016,2016,F,6-6,225,February 1 1993,Michigan State University
Eric Dawson\dawsoer01,2012,2012,F,6-9,250,July 7 1984,Midwestern State University
Jimmy Dawson\dawsoji01,1968,1968,G,6-0,175,April 18 1945,University of Illinois at Urbana-Champaign
Tony Dawson\dawsoto01,1991,1995,F,6-7,215,August 25 1967,Florida State University
Todd Day\dayto01,1993,2001,G-F,6-6,188,January 7 1970,University of Arkansas
