Player,From,To,Pos,Ht,Wt,Birth Date,College
Al Bianchi\biancal01,1957,1966,G,6-3,185,March 26 1932,Bowling Green State University
Hank Biasatti\biasaha01,1947,1947,G,5-11,175,January 14 1922,Long Island University
Henry Bibby\bibbyhe01,1973,1981,G,6-1,185,November 24 1949,University of California Los Angeles
Mike Bibby\bibbymi01,1999,2012,G,6-1,190,May 13 1978,University of Arizona
Ed Biedenbach\biedeed01,1969,1969,G,6-1,175,August 12 1945,North Carolina State University
Andris Biedrins\biedran01,2005,2014,C,6-11,240,April 2 1986,
Don Bielke\bielkdo01,1956,1956,C,6-7,240,,Valparaiso University
Bob Bigelow\bigelbo01,1976,1979,F-G,6-7,215,December 26 1953,University of Pennsylvania
Lionel Billingy\billili01,1975,1975,F-C,6-9,215,August 31 1952,Duquesne University
Chauncey Billups\billuch01,1998,2014,G,6-3,202,September 25 1976,University of Colorado
Dave Bing*\bingda01,1967,1978,G,6-3,180,November 24 1943,Syracuse University
Joe Binion\biniojo01,1987,1987,F,6-8,235,March 26 1961,North Carolina Agricultural and Technical State University
Jerry Bird\birdje01,1959,1959,F,6-6,210,February 2 1935,University of Kentucky
Larry Bird*\birdla01,1980,1992,F,6-9,220,December 7 1956,Indiana State University
Otis Birdsong\birdsot01,1978,1989,G,6-3,190,December 9 1955,University of Houston
Gale Bishop\bishoga01,1949,1949,F,6-3,195,June 4 1922,Washington State University
Bismack Biyombo\biyombi01,2012,2017,C-F,6-9,255,August 28 1992,
Nemanja Bjelica\bjeline01,2016,2017,F,6-10,240,May 9 1988,
Uwe Blab\blabuw01,1986,1990,C,7-1,252,March 26 1962,Indiana University
Charlie Black\blackch01,1949,1952,F-C,6-5,200,June 15 1921,University of Kansas
Norman Black\blackno01,1981,1981,G,6-5,185,November 12 1957,Saint Joseph's University
Tarik Black\blackta01,2015,2017,C-F,6-9,250,November 22 1991,University of Kansas
Tom Black\blackto01,1971,1971,C,6-10,220,July 9 1941,South Dakota State University
Rolando Blackman\blackro01,1982,1994,G,6-6,190,February 26 1959,Kansas State University
Alex Blackwell\blackal01,1993,1993,F,6-6,250,June 27 1970,Monmouth University
Cory Blackwell\blackco01,1985,1985,F,6-6,210,March 27 1963,University of Wisconsin
James Blackwell\blackja01,1995,1995,G,6-0,190,February 25 1968,Dartmouth College
Nate Blackwell\blackna01,1988,1988,G,6-4,170,February 15 1965,Temple University
DeJuan Blair\blairde01,2010,2016,F-C,6-7,270,April 22 1989,University of Pittsburgh
Steve Blake\blakest01,2004,2016,G,6-3,172,February 26 1980,University of Maryland
Will Blalock\blalowi01,2007,2007,G,6-0,205,September 8 1983,Iowa State University
George Blaney\blanege01,1962,1962,G,6-1,175,November 12 1939,College of the Holy Cross
Lance Blanks\blankla01,1991,1993,G,6-4,190,September 9 1966,University of Texas at Austin
Ricky Blanton\blantri01,1993,1993,F,6-7,215,April 21 1966,Louisiana State University
Andray Blatche\blatcan01,2006,2014,F,6-11,235,August 22 1986,
Mookie Blaylock\blaylmo01,1990,2002,G,6-0,180,March 20 1967,University of Oklahoma
Eric Bledsoe\bledser01,2011,2017,G,6-1,205,December 9 1989,University of Kentucky
Leon Blevins\blevile01,1951,1951,G,6-2,160,June 25 1926,University of Arizona
John Block\blockjo01,1967,1976,F-C,6-9,207,April 16 1944,University of Southern California
Mike Bloom\bloommi01,1948,1949,F-C,6-6,190,January 14 1915,Temple University
Corie Blount\blounco01,1994,2004,F,6-9,240,January 4 1969,University of Cincinnati
Mark Blount\blounma01,2001,2009,C,7-0,230,November 30 1975,University of Pittsburgh
Vander Blue\blueva01,2014,2015,G,6-4,200,July 17 1992,Marquette University
Ray Blume\blumera01,1982,1982,G,6-4,185,September 23 1958,Oregon State University
Nelson Bobb\bobbne01,1950,1953,G,6-0,170,February 25 1924,Temple University
Tony Bobbitt\bobbito01,2005,2005,G,6-4,190,October 22 1979,University of Cincinnati
Bucky Bockhorn\bockhbu01,1959,1965,G,6-4,200,July 8 1933,University of Dayton
Tom Boerwinkle\boerwto01,1969,1978,C,7-0,265,August 23 1945,University of Tennessee
Keith Bogans\boganke01,2004,2014,G-F,6-5,215,May 12 1980,University of Kentucky
Bojan Bogdanovic\bogdabo02,2015,2017,G-F,6-8,216,April 18 1989,
Muggsy Bogues\boguemu01,1988,2001,G,5-3,136,January 9 1965,Wake Forest University
Andrew Bogut\bogutan01,2006,2017,C,7-0,260,November 28 1984,University of Utah
Etdrick Bohannon\bohanet01,1998,2001,F,6-9,220,May 29 1973,Auburn University at Montgomery
Manute Bol\bolma01,1986,1995,C,7-7,200,October 16 1962,University of Bridgeport
Bill Bolger\bolgebi01,1954,1954,F,6-5,205,August 21 1931,Georgetown University
Joel Bolomboy\bolomjo01,2017,2017,F,6-9,235,January 28 1994,Weber State University
Doug Bolstorff\bolstdo01,1958,1958,G,6-4,195,October 29 1931,University of Minnesota
George Bon Salle\bonsage01,1962,1962,F,6-8,220,July 1 1935,University of Illinois at Urbana-Champaign
Phil Bond\bondph01,1978,1978,G,6-2,175,July 27 1954,University of Louisville
Walter Bond\bondwa01,1993,1995,G,6-5,200,February 1 1969,University of Minnesota
Dexter Boney\boneyde01,1997,1997,G,6-4,185,April 27 1970,University of Nevada Las Vegas
Ron Bonham\bonharo01,1965,1968,F,6-5,192,May 31 1942,University of Cincinnati
Anthony Bonner\bonnean01,1991,1996,F,6-8,215,June 8 1968,Saint Louis University
Matt Bonner\bonnema01,2005,2016,F,6-10,235,April 5 1980,University of Florida
Butch Booker\bookebu01,1970,1970,C,6-10,230,July 20 1945,Cheyney University of Pennsylvania
Devin Booker\bookede01,2016,2017,G,6-6,206,October 30 1996,University of Kentucky
Melvin Booker\bookeme01,1996,1997,G,6-1,185,August 20 1972,University of Missouri
Trevor Booker\booketr01,2011,2017,F,6-8,228,November 25 1987,Clemson University
Josh Boone\boonejo01,2007,2010,F-C,6-10,237,November 21 1984,University of Connecticut
Ron Boone\boonero01,1969,1981,G-F,6-2,200,September 6 1946,Idaho State University
Calvin Booth\boothca01,2000,2009,C,6-11,230,May 7 1976,Pennsylvania State University
Keith Booth\boothke01,1998,1999,F,6-6,226,October 9 1974,University of Maryland
Bob Boozer\boozebo01,1961,1971,F,6-8,215,April 26 1937,Kansas State University
Carlos Boozer\boozeca01,2003,2015,F-C,6-9,258,November 20 1981,Duke University
Curtis Borchardt\borchcu01,2004,2005,C,7-0,240,September 13 1980,Stanford University
Jake Bornheimer\bornhja01,1949,1950,F-C,6-5,200,June 29 1927,Muhlenberg College
Lazaro Borrell\borrela01,2000,2000,F,6-8,220,September 20 1972,
Ike Borsavage\borsaik01,1951,1951,C-F,6-8,220,July 25 1924,Temple University
Vince Boryla\borylvi01,1950,1954,F,6-5,210,March 11 1927,University of Denver
Chris Bosh\boshch01,2004,2016,F-C,6-11,235,March 24 1984,Georgia Institute of Technology
Jim Bostic\bostiji01,1978,1978,F,6-7,225,January 28 1953,New Mexico State University
Lawrence Boston\bostola01,1980,1980,F,6-8,225,May 18 1956,University of Maryland
Tom Boswell\bosweto01,1976,1984,F-C,6-9,220,October 2 1953,University of South Carolina
Ruben Boumtje-Boumtje\boumtru01,2002,2004,C,7-0,257,May 20 1978,Georgetown University
Don Boven\bovendo01,1950,1953,F-G,6-4,210,March 6 1925,Western Michigan University
Cal Bowdler\bowdlca01,2000,2002,F,6-10,245,March 31 1977,Old Dominion University
Bruce Bowen\bowenbr01,1997,2009,F,6-7,185,June 14 1971,California State University Fullerton
Ryan Bowen\bowenry01,2000,2010,F,6-7,215,November 20 1975,University of Iowa
Tommie Bowens\bowento01,1968,1970,F-C,6-8,220,July 7 1940,Grambling State University
Anthony Bowie\bowiean01,1989,1998,G-F,6-6,190,November 9 1963,University of Oklahoma
Sam Bowie\bowiesa01,1985,1995,C-F,7-1,235,March 17 1961,University of Kentucky
Orbie Bowling\bowlior01,1968,1968,C,6-10,215,March 21 1939,University of Tennessee
Ira Bowman\bowmair01,2000,2002,G,6-5,195,June 11 1973,University of Pennsylvania
Nate Bowman\bowmana01,1967,1972,C,6-10,230,March 19 1943,Wichita State University
Donnie Boyce\boycedo01,1996,1997,G,6-5,196,September 2 1973,University of Colorado
Dennis Boyd\boydde01,1979,1979,G,6-1,175,May 21 1954,University of Detroit Mercy
Freddie Boyd\boydfr01,1973,1978,G,6-2,180,June 13 1950,Oregon State University
Ken Boyd\boydke01,1975,1975,F,6-5,195,March 25 1952,Boston University
Earl Boykins\boykiea01,1999,2012,G,5-5,135,June 2 1976,Eastern Michigan University
Harry Boykoff\boykoha01,1950,1951,C,6-10,225,July 24 1922,St. John's University
Winford Boynes\boynewi01,1979,1981,G-F,6-6,185,May 17 1957,University of San Francisco
Cedric Bozeman\bozemce01,2007,2007,G,6-6,207,March 7 1983,University of California Los Angeles
Steve Bracey\bracest01,1973,1975,G,6-1,175,August 1 1950,University of Tulsa
Craig Brackins\brackcr01,2011,2012,F,6-10,230,October 9 1987,Iowa State University
Gary Bradds\braddga01,1965,1971,F,6-8,210,July 26 1942,Ohio State University
Alex Bradley\bradlal02,1982,1982,F,6-6,215,October 30 1959,Villanova University
Alonzo Bradley\bradlal01,1978,1980,F,6-6,190,October 16 1953,Texas Southern University
Avery Bradley\bradlav01,2011,2017,G,6-2,180,November 26 1990,University of Texas at Austin
Bill Bradley\bradlbi02,1968,1968,G,5-11,165,June 16 1941,
Bill Bradley*\bradlbi01,1968,1977,F-G,6-5,205,July 28 1943,Princeton University
Charles Bradley\bradlch01,1982,1984,G,6-5,215,May 16 1959,University of Wyoming
Dudley Bradley\bradldu01,1980,1989,G-F,6-6,195,March 19 1957,University of North Carolina
Jim Bradley\bradlji01,1974,1976,F,6-8,215,March 16 1952,Northern Illinois University
Joe Bradley\bradljo01,1950,1950,G,6-3,175,September 24 1928,Oklahoma State University
Michael Bradley\bradlmi01,2002,2006,F-C,6-10,245,April 18 1979,Villanova University
Shawn Bradley\bradlsh01,1994,2005,C,7-6,235,March 22 1972,Brigham Young University
Mark Bradtke\bradtma01,1997,1997,C-F,6-10,265,September 27 1968,
Marques Bragg\braggma01,1996,1996,F,6-8,230,March 24 1970,Providence College
Torraye Braggs\braggto01,2004,2005,F,6-8,245,May 15 1976,Xavier University
A.J. Bramlett\bramlaj01,2000,2000,C,6-10,227,January 10 1977,University of Arizona
Adrian Branch\brancad01,1987,1990,F-G,6-7,185,November 17 1963,University of Maryland
Elton Brand\brandel01,2000,2016,F,6-8,275,March 11 1979,Duke University
Terrell Brandon\brandte01,1992,2002,G,5-11,180,May 20 1970,University of Oregon
Bob Brannum\brannbo01,1950,1955,F-C,6-5,215,May 28 1925,Michigan State University
Brad Branson\bransbr01,1982,1983,C-F,6-10,220,September 24 1958,Southern Methodist University
Jesse Branson\bransje01,1966,1968,F,6-7,195,January 7 1942,Elon University
Jim Brasco\brascji01,1953,1953,G,6-1,170,February 3 1931,New York University
Mike Bratz\bratzmi01,1978,1986,G,6-2,185,October 17 1955,Stanford University
Carl Braun\braunca01,1948,1962,G-F,6-5,180,September 25 1927,Colgate University
Tim Breaux\breauti01,1995,1998,F,6-7,215,September 19 1970,University of Wyoming
J.R. Bremer\bremejr01,2003,2004,G,6-2,185,September 19 1980,St. Bonaventure University
Pete Brennan\brennpe01,1959,1959,F,6-6,205,September 23 1936,University of North Carolina
Tom Brennan\brennto01,1955,1955,F,6-3,195,August 6 1930,Villanova University
Randy Breuer\breuera01,1984,1994,C,7-3,230,October 11 1960,University of Minnesota
Corey Brewer\breweco01,2008,2017,F-G,6-9,186,March 5 1986,University of Florida
Jamison Brewer\breweja01,2002,2005,G,6-4,184,November 19 1980,Auburn University
Jim Brewer\breweji01,1974,1982,F-C,6-9,210,December 3 1951,University of Minnesota
Ron Brewer\brewero01,1979,1986,G,6-4,180,September 16 1955,University of Arkansas
Ronnie Brewer\brewero02,2007,2014,G-F,6-7,220,March 20 1985,University of Arkansas
Primoz Brezec\brezepr01,2002,2010,C,7-2,252,October 2 1979,
Frankie Brian\brianfr01,1950,1956,G,6-1,180,May 1 1923,Louisiana State University
Frank Brickowski\brickfr01,1985,1997,F-C,6-9,240,August 14 1959,Pennsylvania State University
Junior Bridgeman\bridgju01,1976,1987,F-G,6-5,210,September 17 1953,University of Louisville
Bill Bridges\bridgbi01,1963,1975,F-C,6-6,228,April 4 1939,University of Kansas
Al Brightman\brighal01,1947,1947,F,6-2,195,September 22 1923,University of Charleston
Aud Brindley\brindau01,1947,1947,F,6-4,175,December 31 1923,Dartmouth College
John Brisker\briskjo01,1970,1975,F-G,6-5,210,June 15 1947,University of Toledo
Allan Bristow\bristal01,1974,1983,F-G,6-7,210,August 23 1951,Virginia Polytechnic Institute and State University
Tyrone Britt\brittty01,1968,1968,G,6-4,190,April 18 1944,Johnson C. Smith University
Wayman Britt\brittwa01,1978,1978,G,6-2,185,August 31 1952,University of Michigan
Mike Brittain\brittmi01,1986,1987,C,7-0,235,June 21 1963,University of South Carolina
Dave Britton\brittda01,1981,1981,G,6-4,180,August 29 1958,Texas A&M University
Jon Brockman\brockjo01,2010,2012,F,6-7,255,March 20 1987,University of Washington
Jim Brogan\brogaji01,1982,1983,G,6-4,185,February 24 1958,West Virginia Wesleyan College
Malcolm Brogdon\brogdma01,2017,2017,G,6-5,215,December 11 1992,University of Virginia
Gary Brokaw\brokaga01,1975,1978,G,6-4,178,January 11 1954,University of Notre Dame
Price Brookfield\brookpr01,1949,1950,F-G,6-4,185,May 11 1920,West Texas A&M University
Clarence Brookins\brookcl01,1971,1971,F,6-4,190,,Temple University
Aaron Brooks\brookaa01,2008,2017,G,6-0,161,January 14 1985,University of Oregon
Kevin Brooks\brookke01,1992,1994,F,6-6,200,October 12 1969,University of Louisiana at Lafayette
MarShon Brooks\brookma01,2012,2014,G-F,6-5,200,January 26 1989,Providence College
Michael Brooks\brookmi01,1981,1988,F,6-7,220,August 17 1958,La Salle University
Scott Brooks\brooksc01,1989,1998,G,5-11,165,July 31 1965,University of California Irvine
Andre Brown\brownan01,2007,2009,F,6-9,245,May 12 1981,DePaul University
Anthony Brown\brownan02,2016,2017,F-G,6-7,210,October 10 1992,Stanford University
Bob Brown\brownbo01,1949,1950,F,6-4,205,November 12 1923,Miami University
Bobby Brown\brownbo02,2009,2017,G,6-2,175,September 24 1984,California State University Fullerton
Chucky Brown\brownch01,1990,2002,F,6-7,214,February 29 1968,North Carolina State University
Damone Brown\brownda02,2002,2005,F,6-9,200,June 28 1979,Syracuse University
Darrell Brown\brownda01,1949,1949,F,6-2,175,March 14 1923,Humboldt State University
Dee Brown\brownde01,1991,2002,G,6-1,160,November 29 1968,Jacksonville University
Dee Brown\brownde03,2007,2009,G,6-0,185,August 17 1984,University of Illinois at Urbana-Champaign
Derrick Brown\brownde04,2010,2012,F,6-7,225,September 8 1987,Xavier University
Devin Brown\brownde02,2003,2010,G,6-5,220,December 30 1978,University of Texas at San Antonio
Ernest Brown\browner01,2002,2002,C,7-0,244,May 17 1979,Indian Hills Community College
Fred Brown\brownfr01,1972,1984,G,6-3,182,August 7 1948,University of Iowa
George Brown\brownge01,1958,1958,F,6-6,190,October 30 1935,Wayne State University
Gerald Brown\brownge02,1999,1999,G,6-4,210,July 28 1975,Pepperdine University
Harold Brown\brownha01,1947,1947,G,6-0,155,October 2 1923,University of Evansville
Jabari Brown\brownja01,2015,2015,G,6-4,215,December 18 1992,University of Missouri
Jaylen Brown\brownja02,2017,2017,F,6-7,225,October 24 1996,University of California
John Brown\brownjo01,1974,1980,F,6-7,220,December 14 1951,University of Missouri
Kedrick Brown\brownke01,2002,2005,G,6-7,222,March 18 1981,Okaloosa-Walton Community College
Kwame Brown\brownkw01,2002,2013,F,6-11,270,March 10 1982,
Larry Brown*\brownla01,1968,1972,G,5-9,160,September 14 1940,University of North Carolina
Leon Brown\brownle01,1947,1947,F,6-3,190,October 12 1919,University of Wyoming
Lewis Brown\brownle02,1981,1981,C,6-11,225,February 19 1955,University of Nevada Las Vegas
Lorenzo Brown\brownlo01,2014,2016,G,6-5,189,August 26 1990,North Carolina State University
Marcus Brown\brownma01,1997,2000,G,6-3,185,April 3 1974,Murray State University
Markel Brown\brownma02,2015,2016,G,6-3,190,January 29 1992,Oklahoma State University
Mike Brown\brownmi01,1987,1997,C-F,6-9,257,July 19 1963,George Washington University
Myron Brown\brownmy01,1992,1992,G,6-3,180,November 3 1969,Slippery Rock University of Pennsylvania
P.J. Brown\brownpj01,1994,2008,F-C,6-11,225,October 14 1969,Louisiana Tech University
Randy Brown\brownra02,1992,2003,G,6-2,190,May 22 1968,New Mexico State University
Raymond Brown\brownra01,1990,1990,F,6-8,220,July 5 1965,University of Idaho
Rickey Brown\brownri01,1981,1985,C-F,6-10,215,August 20 1958,Mississippi State University
Roger Brown*\brownro01,1968,1975,F-G,6-5,205,May 22 1942,University of Dayton
Roger Brown\brownro02,1973,1980,C,6-11,225,February 23 1950,University of Kansas
Shannon Brown\brownsh01,2007,2015,G,6-4,205,November 29 1985,Michigan State University
Stan Brown\brownst01,1948,1952,F,6-3,200,June 27 1929,
Tierre Brown\brownti01,2002,2005,G,6-2,189,June 3 1979,McNeese State University
Tony Brown\brownto01,1985,1992,F-G,6-6,185,July 29 1960,University of Arkansas
Jim Browne\brownji01,1949,1950,C,6-10,235,January 1 1930,
Stanley Brundy\brundst01,1990,1990,F,6-6,210,November 13 1967,DePaul University
Brian Brunkhorst\brunkbr01,1969,1969,F,6-6,208,June 12 1945,Marquette University
George Bruns\brunsge01,1973,1973,G,6-0,160,August 30 1946,Manhattan College
Rick Brunson\brunsri01,1998,2006,G,6-4,190,June 14 1972,Temple University
Nicolas Brussino\brussni01,2017,2017,G-F,6-7,195,March 2 1993,
Em Bryant\bryanem01,1965,1972,G,6-1,175,November 4 1938,DePaul University
Joe Bryant\bryanjo01,1976,1983,F-C,6-9,185,October 19 1954,La Salle University
Kobe Bryant\bryanko01,1997,2016,G-F,6-6,212,August 23 1978,
Mark Bryant\bryanma01,1989,2003,F-C,6-9,245,April 25 1965,Seton Hall University
Wallace Bryant\bryanwa01,1984,1986,C,7-0,245,July 14 1959,University of San Francisco
Torgeir Bryn\brynto01,1990,1990,C,6-9,250,August 8 1964,Texas State University
George Bucci\buccige01,1976,1976,G,6-3,200,July 9 1953,Manhattan College
Joe Buckhalter\buckhjo01,1962,1963,F,6-7,210,August 1 1937,Tennessee State University
Steve Bucknall\bucknst01,1990,1990,G,6-6,215,March 17 1966,University of North Carolina
Cleveland Buckner\buckncl01,1962,1963,F-C,6-9,210,August 17 1938,Jackson State University
Greg Buckner\buckngr01,2000,2009,G,6-4,210,September 16 1976,Clemson University
Quinn Buckner\bucknqu01,1977,1986,G,6-3,190,August 20 1954,Indiana University
Dave Budd\buddda01,1961,1965,F,6-6,205,October 28 1938,Wake Forest University
Chase Budinger\budinch01,2010,2016,F,6-7,209,May 22 1988,University of Arizona
Walt Budko\budkowa01,1949,1952,F-C,6-5,220,July 30 1925,Columbia University
Jud Buechler\buechju01,1991,2002,F-G,6-6,220,June 19 1968,University of Arizona
Rodney Buford\buforro01,2000,2005,G-F,6-5,189,November 2 1977,Creighton University
Matt Bullard\bullama01,1991,2002,F,6-10,215,June 5 1967,University of Iowa
Reggie Bullock\bullore01,2014,2017,G-F,6-7,205,March 16 1991,University of North Carolina
Larry Bunce\buncela01,1968,1969,C,7-0,240,July 29 1945,Utah State University
Greg Bunch\bunchgr01,1979,1979,F,6-6,190,May 15 1956,California State University Fullerton
Dick Bunt\buntdi01,1953,1953,G,6-0,170,July 13 1930,New York University
Bill Buntin\buntibi01,1966,1966,C-F,6-7,250,May 5 1942,University of Michigan
Bill Bunting\buntibi02,1970,1972,F-C,6-8,200,August 26 1947,University of North Carolina
Ticky Burden\burdeti01,1976,1978,G,6-2,185,February 28 1953,University of Utah
Pat Burke\burkepa01,2003,2007,C-F,6-11,250,December 14 1973,Auburn University
Trey Burke\burketr01,2014,2017,G,6-1,191,November 12 1992,University of Michigan
Roger Burkman\burkmro01,1982,1982,G,6-5,175,May 22 1958,University of Louisville
Alec Burks\burksal01,2012,2017,G,6-6,214,July 20 1991,University of Colorado
Antonio Burks\burksan01,2005,2006,G,6-1,200,February 25 1980,University of Memphis
Kevin Burleson\burleke01,2006,2006,G,6-3,205,April 9 1979,University of Minnesota
Tom Burleson\burleto01,1975,1981,C,7-2,225,February 24 1952,North Carolina State University
Jack Burmaster\burmaja01,1950,1950,G,6-3,190,December 23 1926,University of Illinois at Urbana-Champaign
David Burns\burnsda01,1982,1982,G,6-2,180,July 3 1958,Saint Louis University
Evers Burns\burnsev01,1994,1994,F,6-8,260,August 24 1971,University of Maryland
Jim Burns\burnsji01,1968,1968,G,6-3,195,September 21 1945,Northwestern University
Scott Burrell\burresc01,1994,2001,G-F,6-7,218,January 12 1971,University of Connecticut
Art Burris\burriar01,1951,1952,F,6-5,220,April 7 1924,University of Tennessee
Junior Burrough\burroju01,1996,1996,F,6-8,242,January 18 1973,University of Virginia
Bob Burrow\burrobo01,1957,1958,C-F,6-7,228,June 29 1934,University of Kentucky
Ed Burton\burtoed01,1962,1965,F,6-6,225,August 13 1939,Michigan State University
Willie Burton\burtowi01,1991,1999,F-G,6-8,210,May 26 1968,University of Minnesota
Steve Burtt\burttst01,1985,1993,G,6-2,185,November 5 1962,Iona College
Don Buse\busedo01,1973,1985,G,6-4,190,August 10 1950,University of Evansville
David Bustion\bustida01,1973,1973,F,6-8,215,August 30 1949,University of Denver
Donnie Butcher\butchdo01,1962,1966,G,6-2,200,February 8 1936,Pikeville College
Al Butler\butleal01,1962,1965,G,6-2,175,July 9 1938,Niagara University
Caron Butler\butleca01,2003,2016,F,6-7,228,March 13 1980,University of Connecticut
Greg Butler\butlegr01,1989,1991,C,6-11,240,March 11 1966,Stanford University
Jackie Butler\butleja01,2005,2007,F-C,6-10,250,March 10 1985,
Jimmy Butler\butleji01,2012,2017,G-F,6-7,220,September 14 1989,Marquette University
Mike Butler\butlemi01,1969,1972,G,6-2,170,October 22 1946,University of Memphis
Mitchell Butler\butlemi02,1994,2004,G-F,6-5,210,December 15 1970,University of California Los Angeles
Rasual Butler\butlera01,2003,2016,F-G,6-7,215,May 23 1979,La Salle University
Dwight Buycks\buyckdw01,2014,2015,G,6-3,190,March 6 1989,Marquette University
Derrick Byars\byarsde01,2012,2012,F,6-7,220,April 25 1984,Vanderbilt University
Andrew Bynum\bynuman01,2006,2014,C,7-0,285,October 27 1987,
Will Bynum\bynumwi01,2006,2015,G,6-0,185,January 4 1983,Georgia Institute of Technology
Walter Byrd\byrdwa01,1970,1970,F,6-7,205,,Temple University
Marty Byrnes\byrnema01,1979,1983,F,6-7,215,April 30 1956,Syracuse University
Tommy Byrnes\byrneto01,1947,1951,F-G,6-3,175,February 19 1923,Seton Hall University
Michael Bytzura\bytzumi01,1947,1947,F,6-1,170,June 18 1922,Long Island University